"N° ";"Désignation";"Durée";"Crit 1";"Désign Crit 1";"Crit 2";"Désign Crit 2";"Crit 3";"Désign Crit 3";
"206";"DIVERS ACCESSOIRES BAT 1 R+1";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"207";"CLOISONS BOIS EXOTIQUE BAT 1 R+1";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"208";"PORTE DAS BAT 1 R+1";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"209";"BANQUE D'ACCUEIL BAT 1 R+1";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"210";"PLINTHES BAT 1 R+1";"15";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"213";"AMENAGEMENT PLACARDS BAT 1 RDC";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"214";"AMENAGEMENT PLACARDS BAT 1 R+2";"15";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"215";"BLOC PORTE BAT 1 R+2";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"216";"IDEOGRAMME SIGNALETIQUE BAT 1 R+2";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"217";"DIVERS ACCESSOIRES BAT 1 R+2";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"218";"CLOISONS ALU BAT 1 R+2";"30";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"219";"PORTE DAS BAT 1 R+2";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"220";"PLINTHES BAT 1 R+2";"15";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"221";"STORES VENITIENS BAT 1 R+3";"20";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
